yolov3-tiny-data
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 9.509367 seconds
Region 23 Avg IOU: 0.230215, Class: 0.581457, Obj: 0.521660, No Obj: 0.505845, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.244242, Class: 0.551959, Obj: 0.641882, No Obj: 0.607837, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.202110, Class: 0.685008, Obj: 0.572837, No Obj: 0.508691, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.176372, Class: 0.480003, Obj: 0.657156, No Obj: 0.609255, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.123476, Class: 0.782295, Obj: 0.659918, No Obj: 0.506514, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 16 Avg IOU: 0.168345, Class: 0.493168, Obj: 0.669722, No Obj: 0.604715, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.364619, Class: 0.420227, Obj: 0.692955, No Obj: 0.505217, .5R: 0.333333, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.243843, Class: 0.438701, Obj: 0.613913, No Obj: 0.603119, .5R: 0.153846, .75R: 0.000000,  count: 13
Region 23 Avg IOU: 0.129472, Class: 0.480293, Obj: 0.811674, No Obj: 0.502644, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.141792, Class: 0.399476, Obj: 0.664204, No Obj: 0.604413, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.125173, Class: 0.596029, Obj: 0.831565, No Obj: 0.505161, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.208153, Class: 0.538115, Obj: 0.801152, No Obj: 0.605423, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.300214, Class: 0.631684, Obj: 0.738802, No Obj: 0.506362, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.209140, Class: 0.496225, Obj: 0.756376, No Obj: 0.601766, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.256542, Class: 0.801466, Obj: 0.504180, No Obj: 0.503119, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.213696, Class: 0.434892, Obj: 0.733960, No Obj: 0.610653, .5R: 0.076923, .75R: 0.076923,  count: 13
Region 23 Avg IOU: 0.202524, Class: 0.612101, Obj: 0.552044, No Obj: 0.506869, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.097822, Class: 0.437779, Obj: 0.700761, No Obj: 0.601780, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.144331, Class: 0.672186, Obj: 0.634107, No Obj: 0.502980, .5R: 0.000000, .75R: 0.000000,  count: 2
